Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-05,1010406.26
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-06,1282176.48
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-07,1099766.9
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-08,1116975.77
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2016-09,1728332.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2016-10,1296849.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2016-11,2889028.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2016-12,7068157.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-01,1113877.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-02,1492482.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-03,1759233.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-04,1369538.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-05,1647726.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-06,2297893.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-07,1681710.0
A_E_U,A_E_U,Drift_25pct,187107.3,5.84,2017-08,1662542.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2016-09,1596638.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2016-10,1354425.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2016-11,2107917.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2016-12,1558224.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-01,1746089.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-02,2244871.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-03,1484219.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-04,1840043.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-05,3742965.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-06,1997524.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-07,1776251.0
B_F_S,B_F_S,Drift_75pct,231113.62,11.77,2017-08,2464350.0
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2016-09,2561872.2
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2016-10,1948894.29
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2016-11,2239943.58
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2016-12,2661275.48
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-01,1994689.13
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-02,2163026.27
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-03,2793918.83
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-04,2341275.73
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-05,2070747.04
